dataset,method,canonical_method,graph_seed,training_seed,export_hash,success,status,failure_type,failure_message,structural_storage_ratio,raw_hgb_text_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,1,4,95796bf6a36fd3416b48d242ccc8be4b419a5b5a9678f36574134cb3b73bd881,True,success,,,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.9390850000000001,0.934622,0.942387,0.940697
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,1,5,95796bf6a36fd3416b48d242ccc8be4b419a5b5a9678f36574134cb3b73bd881,True,success,,,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.945423,0.9415399999999999,0.950617,0.946817
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,1,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,True,success,,,0.15916430179078186,0.5312848976907086,0.131946937378426,0.9496479999999999,0.945886,0.921811,0.9187109999999999
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,2,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,True,success,,,0.15916430179078186,0.5312848976907086,0.131946937378426,0.952113,0.9488840000000001,0.958848,0.955997
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,3,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,True,success,,,0.15916430179078186,0.5312848976907086,0.131946937378426,0.9464790000000001,0.942572,0.942387,0.938376
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,4,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,True,success,,,0.15916430179078186,0.5312848976907086,0.131946937378426,0.951408,0.947614,0.9300409999999999,0.928618
DBLP,HeSF-RCS-APV16,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,1,5,dc84bd4952faee8d20d9fd5a9c13fad007c135791eeb6a5490d4dbd8467e4a7d,True,success,,,0.15916430179078186,0.5312848976907086,0.131946937378426,0.9492959999999999,0.945879,0.946502,0.942473
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,1,1,2a81c5c396dab0c56a10aa0b57408d1efc8d62b1f9ceb014b77b0358c7c91efe,True,success,,,0.1127462419173937,0.5297887028769537,0.08046634330414165,0.915845,0.9108620000000001,0.921811,0.918453
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,1,2,2a81c5c396dab0c56a10aa0b57408d1efc8d62b1f9ceb014b77b0358c7c91efe,True,success,,,0.1127462419173937,0.5297887028769537,0.08046634330414165,0.9239440000000001,0.91861,0.938272,0.9346869999999999
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,1,3,2a81c5c396dab0c56a10aa0b57408d1efc8d62b1f9ceb014b77b0358c7c91efe,True,success,,,0.1127462419173937,0.5297887028769537,0.08046634330414165,0.919366,0.913976,0.938272,0.933881
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,1,4,2a81c5c396dab0c56a10aa0b57408d1efc8d62b1f9ceb014b77b0358c7c91efe,True,success,,,0.1127462419173937,0.5297887028769537,0.08046634330414165,0.921127,0.916477,0.946502,0.9454290000000001
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,1,5,2a81c5c396dab0c56a10aa0b57408d1efc8d62b1f9ceb014b77b0358c7c91efe,True,success,,,0.1127462419173937,0.5297887028769537,0.08046634330414165,0.9242959999999999,0.9198090000000001,0.938272,0.934576
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,1,ecd128298fa3b76b75eeaf70b7864d20b07b722105c5367d2f5a50a7026d7f0c,True,success,,,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.878873,0.873947,0.872428,0.864229
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,2,ecd128298fa3b76b75eeaf70b7864d20b07b722105c5367d2f5a50a7026d7f0c,True,success,,,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.881338,0.876212,0.860082,0.856005
