dataset,base_method,adapter_method,training_seed,success,failure_type,failure_reason,test_micro_f1,test_macro_f1,training_executed,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,static_inference_package_bytes,transform_recipe_package_bytes,reconstructable_package_bytes,sidecar_feature_bytes,link_dat_bytes,label_split_bytes,schema_bytes,mapping_bytes,projection_seed_bytes,projection_matrix_bytes,pca_basis_bytes,pca_mean_bytes,quantization_metadata_bytes,reproducible_transform_package_complete,eligible_for_adapter_table,eligible_for_official_main_table
DBLP,H6-APV-skeleton,fp16_node_features,1,True,,,0.9481691999999999,0.944491,True,0.2679083415576552,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,fp16_node_features,2,True,,,0.9481691999999999,0.944491,True,0.2679083415576552,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,fp16_node_features,3,True,,,0.9481691999999999,0.944491,True,0.2679083415576552,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,fp16_node_features,4,True,,,0.9481691999999999,0.944491,True,0.2679083415576552,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,fp16_node_features,5,True,,,0.9481691999999999,0.944491,True,0.2679083415576552,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim64,1,True,,,0.9476762,0.9438038,True,0.0070571529541458115,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim64,2,True,,,0.9476762,0.9438038,True,0.0070571529541458115,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim64,3,True,,,0.9476762,0.9438038,True,0.0070571529541458115,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim64,4,True,,,0.9476762,0.9438038,True,0.0070571529541458115,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim64,5,True,,,0.9476762,0.9438038,True,0.0070571529541458115,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim128,1,True,,,0.9475352,0.943617,True,0.009687322448352062,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim128,2,True,,,0.9475352,0.943617,True,0.009687322448352062,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim128,3,True,,,0.9475352,0.943617,True,0.009687322448352062,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim128,4,True,,,0.9475352,0.943617,True,0.009687322448352062,,,,,,,,,,,,,,,,False,True,False
DBLP,H6-APV-skeleton,pca_svd_dim128,5,True,,,0.9475352,0.943617,True,0.009687322448352062,,,,,,,,,,,,,,,,False,True,False
