base_method,feature_transform,label_graph_setting,row_count,success_count,test_micro_f1_mean,test_macro_f1_mean,answers_ready
full/export-full,raw,num_label_hops_0,1,0,NaN,NaN,False
full/export-full,term-only,default,1,0,NaN,NaN,False
full/export-full,term-only,feature_only_mlp_adapter,1,0,NaN,NaN,False
full/export-full,term-only,no_label_feats,1,0,NaN,NaN,False
full/export-full,term-only,num_feature_hops_0,1,0,NaN,NaN,False
full/export-full,term-only,num_label_hops_0,1,0,NaN,NaN,False
full/export-full,zero-all-support,default,1,0,NaN,NaN,False
full/export-full,zero-all-support,feature_only_mlp_adapter,1,0,NaN,NaN,False
full/export-full,zero-all-support,no_label_feats,1,0,NaN,NaN,False
full/export-full,zero-all-support,num_feature_hops_0,1,0,NaN,NaN,False
full/export-full,zero-all-support,num_label_hops_0,1,0,NaN,NaN,False
full/export-full,zero-paper,default,1,0,NaN,NaN,False
full/export-full,zero-paper,feature_only_mlp_adapter,1,0,NaN,NaN,False
full/export-full,zero-paper,no_label_feats,1,0,NaN,NaN,False
full/export-full,zero-paper,num_feature_hops_0,1,0,NaN,NaN,False
full/export-full,zero-paper,num_label_hops_0,1,0,NaN,NaN,False
full/export-full,zero-term,default,1,0,NaN,NaN,False
full/export-full,zero-term,feature_only_mlp_adapter,1,0,NaN,NaN,False
full/export-full,zero-term,no_label_feats,1,0,NaN,NaN,False
full/export-full,zero-term,num_feature_hops_0,1,0,NaN,NaN,False
full/export-full,zero-term,num_label_hops_0,1,0,NaN,NaN,False
