dataset,method,method_family,base_graph_method,canonical_base_graph_method,graph_seed,training_seed,feature_compression_method,uses_feature_adapter,official_sehgnn_unmodified,eligible_for_main_decision,eligible_for_adapter_table,official_text_hgb_byte_ratio,hgb_raw_file_byte_ratio,adapter_binary_feature_byte_ratio,adapter_effective_deployment_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,feature_storage_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,feature_loader_audit_pass,fit_uses_labels,fit_uses_test_labels,fit_uses_validation_labels,fit_uses_test_features,success,status,failed_reason,sidecar_feature_bytes,sidecar_metadata_bytes,node_dat_bytes,link_dat_bytes,label_dat_bytes,label_test_dat_bytes,info_dat_bytes,export_total_bytes,native_full_total_bytes,preprocessed_cache_bytes,train_time_seconds,peak_memory_mb,adapter_package_ratio,adapter_manifest_complete,adapter_manifest_path,adapter_package_total_bytes,projection_fit_time_seconds,sidecar_write_time_seconds,sidecar_load_time_seconds,preprocess_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,failure_type
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.9450700000000001,0.941005,0.942387,0.9388,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,18.8216764,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_1\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.9503520000000001,0.946858,0.958848,0.955401,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,14.514928999999995,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_2\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.948592,0.944598,0.942387,0.937286,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,13.909696300000007,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_3\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.948592,0.944896,0.934156,0.9336180000000001,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,19.118739100000084,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_4\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim64,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.952817,0.949646,0.942387,0.9373210000000001,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,14.30629440000007,,0.0070469568251660215,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim64\graph_seed_1\training_seed_5\adapter_manifest.json,930275,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.946831,0.9424819999999999,0.934156,0.931404,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,18.9294043,,0.009650363374583568,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim128\graph_seed_1\training_seed_1\adapter_manifest.json,1273953,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.952465,0.949034,0.9547329999999999,0.9512160000000001,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,14.97623440000001,,0.009650363374583568,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim128\graph_seed_1\training_seed_2\adapter_manifest.json,1273953,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.946831,0.943113,0.942387,0.938376,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,14.338272899999993,,0.009650363374583568,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim128\graph_seed_1\training_seed_3\adapter_manifest.json,1273953,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.946831,0.942898,0.942387,0.9420050000000001,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,18.55209960000002,,0.009650363374583568,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim128\graph_seed_1\training_seed_4\adapter_manifest.json,1273953,,,,,,,
DBLP,H6-APV-skeleton+random_projection_dim128,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.948592,0.9449609999999999,0.950617,0.946935,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,16.609470200000032,,0.009650363374583568,True,results\gate21_6_feature_adapter_package\adapter_manifests\H6-APV-skeleton+random_projection_dim128\graph_seed_1\training_seed_5\adapter_manifest.json,1273953,,,,,,,
