dataset,method,method_family,base_graph_method,canonical_base_graph_method,graph_seed,training_seed,feature_compression_method,uses_feature_adapter,official_sehgnn_unmodified,eligible_for_main_decision,eligible_for_adapter_table,official_text_hgb_byte_ratio,hgb_raw_file_byte_ratio,adapter_binary_feature_byte_ratio,adapter_effective_deployment_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,feature_storage_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,feature_loader_audit_pass,fit_uses_labels,fit_uses_test_labels,fit_uses_validation_labels,fit_uses_test_features,success,status,failed_reason,sidecar_feature_bytes,sidecar_metadata_bytes,node_dat_bytes,link_dat_bytes,label_dat_bytes,label_test_dat_bytes,info_dat_bytes,export_total_bytes,native_full_total_bytes,preprocessed_cache_bytes,train_time_seconds,peak_memory_mb
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,pca_svd_dim64,True,False,False,True,0.10885220645897652,0.10885220645897652,0.0015287072844690594,0.007002854401005299,0.007002854401005299,,0.015126447648310093,0.952465,0.9492910000000001,0.946502,0.9408660000000001,,False,False,False,True,True,success,,201806,0,13341269,668069,16378,38200,0,14369676,132010884,0,14.221796299999937,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,random_projection_dim128,True,False,False,True,0.14403921422115468,0.14403921422115468,0.004121917704906816,0.009596064821443056,0.009596064821443056,,0.030252895296620185,0.948592,0.9449609999999999,0.950617,0.946935,,False,False,False,True,True,success,,544138,0,17986324,668069,16378,38200,0,19014744,132010884,0,16.609470200000032,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,random_projection_dim64,True,False,False,True,0.10817863321027378,0.10817863321027378,0.00151851115548927,0.0069926582720255094,0.0069926582720255094,,0.015126447648310093,0.952817,0.949646,0.942387,0.9373210000000001,,False,False,False,True,True,success,,200460,0,13252338,668069,16378,38200,0,14280757,132010884,0,14.30629440000007,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,raw_features_adapter_control,True,False,False,True,0.5300200777384386,0.5300200777384386,0.5247597387500261,0.5277038975059056,0.5277038975059056,,1.0,0.944366,0.940067,0.925926,0.923612,,False,False,False,True,True,success,,69273997,0,69273997,334083,16378,38200,0,69968419,132010884,0,14.942004200000042,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,fp16_node_features,True,False,False,True,0.5300201837903002,0.5300201837903002,0.2623798655874466,0.265324054643858,0.265324054643858,,0.5,0.944366,0.940067,0.925926,0.923612,,False,False,False,True,True,success,,34636998,4,69273997,334083,16378,38200,0,69968433,132010884,0,15.182589300000018,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,int8_per_feature,True,False,False,True,0.5342065507265294,0.5342065507265294,0.1322365207402141,0.13543708259691678,0.13543708259691678,,0.25,0.9440139999999999,0.939743,0.925926,0.923612,,False,False,False,True,True,success,,17456660,33848,69826643,334083,16378,38200,0,70521079,132010884,0,14.84401360000004,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,pca_svd_dim128,True,False,False,True,0.14273091300562762,0.14273091300562762,0.00415887677867531,0.007103035534554863,0.007103035534554863,,0.030252895296620185,0.9464790000000001,0.942474,0.925926,0.9239010000000001,,False,False,False,True,True,success,,549017,0,18147593,334083,16378,38200,0,18842034,132010884,0,12.828944399999955,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,pca_svd_dim64,True,False,False,True,0.10632234687558036,0.10632234687558036,0.0015287072844690594,0.004472866040348612,0.004472866040348612,,0.015126447648310093,0.947535,0.9433029999999999,0.9300409999999999,0.926404,,False,False,False,True,True,success,,201806,0,13341269,334083,16378,38200,0,14035707,132010884,0,12.962493300000006,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,random_projection_dim128,True,False,False,True,0.14150935463775852,0.14150935463775852,0.004121917704906816,0.00706607646078637,0.00706607646078637,,0.030252895296620185,0.9464790000000001,0.942162,0.942387,0.940105,,False,False,False,True,True,success,,544138,0,17986324,334083,16378,38200,0,18680775,132010884,0,16.253290400000083,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,1,random_projection_dim64,True,False,False,True,0.10564877362687762,0.10564877362687762,0.00151851115548927,0.004462669911368823,0.004462669911368823,,0.015126447648310093,0.95,0.94586,0.9300409999999999,0.9260120000000001,,False,False,False,True,True,success,,200460,0,13252338,334083,16378,38200,0,13946788,132010884,0,13.18958859999998,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,2,raw_features_adapter_control,True,False,False,True,0.5300200777384386,0.5300200777384386,0.5247597387500261,0.5277038975059056,0.5277038975059056,,1.0,0.947887,0.943808,0.946502,0.942376,,False,False,False,True,True,success,,69273997,0,69273997,334083,16378,38200,0,69968419,132010884,0,16.32290159999991,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,2,fp16_node_features,True,False,False,True,0.5300201837903002,0.5300201837903002,0.2623798655874466,0.265324054643858,0.265324054643858,,0.5,0.947887,0.943808,0.946502,0.942376,,False,False,False,True,True,success,,34636998,4,69273997,334083,16378,38200,0,69968433,132010884,0,15.659108999999944,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,2,int8_per_feature,True,False,False,True,0.5342065507265294,0.5342065507265294,0.1322365207402141,0.13543708259691678,0.13543708259691678,,0.25,0.947887,0.943944,0.946502,0.942376,,False,False,False,True,True,success,,17456660,33848,69826643,334083,16378,38200,0,70521079,132010884,0,15.965186300000028,
DBLP,SeHGNN-feature-compressed-adapter,feature_compressed_adapter,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,1,2,pca_svd_dim128,True,False,False,True,0.14273091300562762,0.14273091300562762,0.00415887677867531,0.007103035534554863,0.007103035534554863,,0.030252895296620185,0.9496479999999999,0.945554,0.950617,0.946134,,False,False,False,True,True,success,,549017,0,18147593,334083,16378,38200,0,18842034,132010884,0,13.90372149999996,
