"dataset","method","base_graph_method","canonical_base_graph_method","graph_seed","training_seed","relation_channel_spec","term_channel_spec","feature_transform_name","feature_transform_family","node_types_modified","feature_dim_by_type_after_loader","semantic_structural_storage_ratio","hgb_raw_file_byte_ratio","effective_total_byte_ratio","support_edge_ratio","test_micro_f1","test_macro_f1","validation_micro_f1","validation_macro_f1","official_sehgnn_unmodified","eligible_for_main_decision","eligible_for_adapter_table","cache_hygiene_pass","feature_loader_audit_pass","fit_uses_labels","fit_uses_test_labels","success","status","failed_reason"
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","paper-only-features","type_only","","","0.3721235707242166","0.5222927754956932","0.5222927754956932","0.3681323727073124","0.9450700000000001","0.9409439999999999","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","paper-only-features","type_only","","","0.7765286382078632","0.5353229586736197","0.5353229586736197","0.8166434302029504","0.946831","0.943094","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","venue-only-features","type_only","","","0.19881894209127793","0.5136067341235288","0.5136067341235288","0.1759264670278754","0.947535","0.944049","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","venue-only-features","type_only","","","0.3721235707242166","0.5191908570205469","0.5191908570205469","0.3681323727073124","0.947887","0.944397","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","venue-only-features","type_only","","","0.7765286382078632","0.5322210401984734","0.5322210401984734","0.8166434302029504","0.947183","0.9436620000000001","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","term-only-features","type_only","","","0.19881894209127793","0.5345773383352239","0.5345773383352239","0.1759264670278754","0.93838","0.9339400000000001","0.921811","0.918248","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","term-only-features","type_only","","","0.3721235707242166","0.5401614612322421","0.5401614612322421","0.3681323727073124","0.9447180000000001","0.940561","0.9135800000000001","0.910085","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","term-only-features","type_only","","","0.7765286382078632","0.5531916444101684","0.5531916444101684","0.8166434302029504","0.94331","0.939088","0.9176949999999999","0.9144110000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","type-constant-support-features","type_constant","","","0.19881894209127793","2.38095970935245","2.38095970935245","0.1759264670278754","0.9394370000000001","0.934986","0.938272","0.932488","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","type-constant-support-features","type_constant","","","0.3721235707242166","2.386543832249468","2.386543832249468","0.3681323727073124","0.9376760000000001","0.933289","0.921811","0.916772","False","False","True","True","","False","False","True","success",""
