dataset,method,relation_pair_name,forward_relation_name,reverse_relation_name,forward_retention,reverse_retention,forward_edge_count,reverse_edge_count,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,relation_mapping_audit_pass
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.789789,0.7855580000000001,0.7983540000000001,0.79293,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.789789,0.7855580000000001,0.7983540000000001,0.79293,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.7880280000000001,0.7822520000000001,0.802469,0.800377,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.7880280000000001,0.7822520000000001,0.802469,0.800377,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.7880280000000001,0.7822520000000001,0.802469,0.800377,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.792958,0.7868989999999999,0.786008,0.768913,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.792958,0.7868989999999999,0.786008,0.768913,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.792958,0.7868989999999999,0.786008,0.768913,0.3063599479100017,0.5360671473118838,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.7880280000000001,0.783797,0.802469,0.796612,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.7880280000000001,0.783797,0.802469,0.796612,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.7880280000000001,0.783797,0.802469,0.796612,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.788732,0.783155,0.794239,0.792277,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.788732,0.783155,0.794239,0.792277,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.788732,0.783155,0.794239,0.792277,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.794718,0.78878,0.786008,0.768913,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.794718,0.78878,0.786008,0.768913,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.794718,0.78878,0.786008,0.768913,0.3063599479100017,0.536067336690208,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.952465,0.948598,0.9300409999999999,0.926724,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.952465,0.948598,0.9300409999999999,0.926724,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.952465,0.948598,0.9300409999999999,0.926724,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.952465,0.949433,0.962963,0.960235,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.952465,0.949433,0.962963,0.960235,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.952465,0.949433,0.962963,0.960235,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.9482389999999999,0.944678,0.938272,0.933587,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.9482389999999999,0.944678,0.938272,0.933587,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.9482389999999999,0.944678,0.938272,0.933587,0.3392398774530099,0.5371001303195576,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.9464790000000001,0.9423569999999999,0.942387,0.939243,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.9464790000000001,0.9423569999999999,0.942387,0.939243,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.9464790000000001,0.9423569999999999,0.942387,0.939243,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.9492959999999999,0.946109,0.958848,0.956045,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.9492959999999999,0.946109,0.958848,0.956045,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.9492959999999999,0.946109,0.958848,0.956045,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.9482389999999999,0.944808,0.938272,0.933587,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.9482389999999999,0.944808,0.938272,0.933587,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.9482389999999999,0.944808,0.938272,0.933587,0.3392398774530099,0.5371005924026688,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.947183,0.942974,0.9300409999999999,0.927903,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.947183,0.942974,0.9300409999999999,0.927903,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.947183,0.942974,0.9300409999999999,0.927903,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.948944,0.945662,0.962963,0.960235,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.948944,0.945662,0.962963,0.960235,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.948944,0.945662,0.962963,0.960235,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,AP_PA,AP,PA,1.0,0.5,17474,8737,0.9482389999999999,0.944635,0.938272,0.933587,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.9482389999999999,0.944635,0.938272,0.933587,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.9482389999999999,0.944635,0.938272,0.933587,0.3392398774530099,0.5371006075529348,True
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.5,1.0,8737,17474,0.873592,0.868199,0.855967,0.8484860000000001,0.3392398774530099,0.5371009484339185,True
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.873592,0.868199,0.855967,0.8484860000000001,0.3392398774530099,0.5371009484339185,True
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.873592,0.868199,0.855967,0.8484860000000001,0.3392398774530099,0.5371009484339185,True
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.5,1.0,8737,17474,0.874648,0.868806,0.855967,0.852244,0.3392398774530099,0.5371009484339185,True
