dataset,method,graph_seed,training_seed,relation_channel_spec,AP_retention,PA_retention,PT_retention,TP_retention,PV_retention,VP_retention,AP_edge_count,PA_edge_count,PT_edge_count,TP_edge_count,PV_edge_count,VP_edge_count,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,3,2,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371006075529348,0.3316622559127756,0.948944,0.945662,0.962963,0.960235,0.9940989569201856,0.9940200830187808
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,3,3,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371006075529348,0.3316622559127756,0.9482389999999999,0.944635,0.938272,0.933587,0.9962994911537664,0.996041708623782
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,1,1,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371009484339185,0.3316622559127756,0.873592,0.868199,0.855967,0.8484860000000001,0.9158368042705896,0.9139138865174915
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,1,2,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371009484339185,0.3316622559127756,0.874648,0.868806,0.855967,0.852244,0.9162676242985113,0.9132339168193443
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,1,3,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371009484339185,0.3316622559127756,0.8785209999999999,0.8731359999999999,0.8765430000000001,0.8679640000000001,0.9230479080357357,0.920651757875724
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,2,1,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.537100281822217,0.3316622559127756,0.873592,0.868475,0.8765430000000001,0.86909,0.9158368042705896,0.9142044192555835
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,2,2,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.537100281822217,0.3316622559127756,0.870775,0.865237,0.868313,0.8640909999999999,0.9122103298110052,0.9094824097520264
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,2,3,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.537100281822217,0.3316622559127756,0.870423,0.864781,0.8765430000000001,0.869007,0.9145394694676499,0.9118420816774553
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,1,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371010014598493,0.3316622559127756,0.866549,0.862206,0.872428,0.8675440000000001,0.9084532217601295,0.9076053260124698
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371010014598493,0.3316622559127756,0.867254,0.862402,0.872428,0.8675149999999999,0.9085217850419609,0.9065024370605592
